date,1. open,2. high,3. low,4. close,5. volume
2024-12-26,457.265,459.48,455.795,459.08,2160799.0
2024-12-27,457.3,461.13,454.48,456.51,3237722.0
2024-12-30,454.245,454.69,449.1765,452.16,2831375.0
2024-12-31,452.205,454.33,451.11,453.28,3380714.0
2025-01-02,455.96,456.8899,450.03,451.1,3751194.0
2025-01-03,452.53,454.5269,450.12,453.56,2887160.0
2025-01-06,453.85,456.2399,450.57,451.41,4072913.0
2025-01-07,452.8,456.515,451.1,452.92,3507166.0
2025-01-08,453.63,454.0,449.63,451.84,3933259.0
2025-01-10,452.66,453.0,440.1,442.66,5471869.0
2025-01-13,442.04,445.0,441.15,443.91,3639248.0
2025-01-14,445.5,450.3,443.92,450.03,4055602.0
2025-01-15,455.55,459.09,453.27,458.51,4719411.0
2025-01-16,458.93,462.96,458.3001,462.81,3475694.0
2025-01-17,464.71,470.18,462.4547,467.95,6466973.0
2025-01-21,471.0,473.17,467.72,468.57,4910195.0
2025-01-22,468.59,468.89,455.28,460.51,5838478.0
2025-01-23,461.68,464.76,458.0,459.83,4424526.0
2025-01-24,459.2,463.81,457.08,463.19,3070305.0
2025-01-27,464.3,474.93,464.3,474.7,4535629.0
2025-01-28,473.93,473.93,469.3,469.97,3261260.0
2025-01-29,469.88,473.92,468.0,469.26,2524211.0
2025-01-30,472.2,474.0643,469.15,472.35,2552240.0
2025-01-31,471.84,472.55,467.0101,468.67,5442624.0
2025-02-03,461.3,466.74,454.6,464.61,4232007.0
2025-02-04,464.94,467.91,462.7,467.49,3238419.0
2025-02-05,469.81,474.24,468.89,473.73,3782754.0
2025-02-06,475.46,478.0,473.28,477.22,3832693.0
2025-02-07,477.41,478.25,472.34,472.74,3205136.0
2025-02-10,473.96,474.2,469.3701,470.17,2907341.0
2025-02-11,470.05,473.05,466.715,472.61,2322610.0
2025-02-12,470.44,472.15,468.09,471.73,3297561.0
2025-02-13,471.55,481.19,471.2,480.49,3274693.0
2025-02-14,481.47,484.55,479.45,479.59,2825755.0
2025-02-18,480.4,484.06,477.63,482.82,3351014.0
